ID;Var;Dormancy;Box;LT;LAI0;LAI8;LAI10;LAI13;LAI17;LAI20;LAI23
L1;LUZELLE;2;4;S;0,352487364;0,394120777;0,510109072;0,849162011;0,864591647;0,891992551;1
L2;LUZELLE;2;2;C;0,596595961;0,641051696;0,644481138;1;0,88123968;0,97294551;0,967483805
L3;LUZELLE;2;1;C;0,832945932;0,593734209;0,618494189;1;0,834461849;0,774734715;0,843860536
L4;LUZELLE;2;2;C;0,766263025;0,629400169;0,603632779;0,932835821;1;0,99662067;0,980146438
L5;LUZELLE;2;3;S;0,411064426;0,513805522;0,6257503;0,917366947;0,927370948;1;0,956182473
L6;LUZELLE;2;3;S;0,920382166;0,676384125;0,597011269;0,91621754;0,829740323;0,787604116;1
L7;LUZELLE;2;3;S;0,72057971;0,674202899;0,758454106;;0,89352657;0,951111111;1
L8;LUZELLE;2;3;S;0,474968126;0,535231619;0,565490863;0,923416915;0,840373991;0,905652359;1
L9;LUZELLE;2;4;S;0,607707974;0,481435062;0,632147893;0,921040263;1;0,853047157;0,966003447
L10;LUZELLE;2;1;C;;0,472261427;0,515470633;0,904462056;0,805124308;0,840842471;0,927695147
L11;LUZELLE;2;3;S;0,449477084;0,572516149;0,610350661;0,951553368;0,794140265;0,884650877;1
L12;LUZELLE;2;4;S;0,416496648;0,378533955;0,531477703;0,828402798;0,748105509;0,843485864;1
L13;LUZELLE;2;2;C;0,776921066;0,547961317;0,499607946;0,745948772;0,801228437;1;0,990067956
L14;LUZELLE;2;2;C;0,393501267;0,47473543;0,492621851;0,77835743;1;0,880757192;0,959010285
L15;LUZELLE;2;4;S;0,450804422;0,518550947;0,626463828;0,93685017;0,966072015;0,924701762;1
L16;LUZELLE;2;4;S;0,29419221;0,311592533;0,400437889;0,675846969;0,753053699;0,865406776;1
L17;LUZELLE;2;2;C;0,499364945;0,490262489;0,437129551;0,660668925;0,922099915;0,838060965;1
L18;LUZELLE;2;2;C;;0,512783053;0,612490869;0,976442659;0,96274653;0,893352812;0,948685172
L19;LUZELLE;2;4;S;0,176906361;0,230837614;0,370209403;0,632655077;0,702489135;0,841367049;1
