ID;Var;Dormancy;Box;LT;BiomassCut;BiomassFin;0;8;10;13;17;20
L1;LUZELLE;2;4;S;0,2079;0,4934;2650;2963;3835;6384;6500;6706
L2;LUZELLE;2;2;C;0,1683;0,4375;4697;5047;5074;7873;6938;7660
L3;LUZELLE;2;1;C;0,2246;0,5457;8242;5875;6120;9895;8257;7666
L4;LUZELLE;2;2;C;0,2687;0,4711;5442;4470;4287;6625;7102;7078
L5;LUZELLE;2;3;S;0,3266;0,6188;4109;5136;6255;9170;9270;9996
L6;LUZELLE;2;3;S;0,5621;0,2542;3757;2761;2437;3740;3387;3215
L7;LUZELLE;2;3;S;0,3082;0,3575;3729;3489;3925;;4624;4922
L8;LUZELLE;2;3;S;0,4332;0,7644;5588;6297;6653;10864;9887;10655
L9;LUZELLE;2;4;S;0,1876;0,4899;3879;3073;4035;5879;6383;5445
L10;LUZELLE;2;1;C;0,2406;0,436;9211;4350;4748;8331;7416;7745
L11;LUZELLE;2;3;S;0,7026;1,1416;5845;7445;7937;12374;10327;11504
L12;LUZELLE;2;4;S;0,2642;0,836;5716;5195;7294;11369;10267;11576
L13;LUZELLE;2;2;C;0,2216;0,4868;5945;4193;3823;5708;6131;7652
L14;LUZELLE;2;2;C;0,1823;0,3051;2640;3185;3305;5222;6709;5909
L15;LUZELLE;2;4;S;0,339;0,5696;4119;4738;5724;8560;8827;8449
L16;LUZELLE;2;4;S;0,3641;0,5836;2553;2704;3475;5865;6535;7510
L17;LUZELLE;2;2;C;0,1252;0,2092;2359;2316;2065;3121;4356;3959
L18;LUZELLE;2;2;C;0,2694;0,3604;5476;2808;3354;5347;5272;4892
L19;LUZELLE;2;4;S;0,2087;0,5339;1791;2337;3748;6405;7112;8518
L20;LUZELLE;2;2;C;0,2026;0,5128;4191;4517;4620;8291;7751;8935
L21;LUZELLE;2;1;C;0,2117;0,4759;5613;3913;3944;5869;6385;6751
L22;LUZELLE;2;2;C;0,1092;0,3673;2365;3943;3575;5534;5046;5901
L23;LUZELLE;2;4;S;0,1658;0,188;2121;872;1461;2047;2915;3420
L24;LUZELLE;2;1;C;0,1063;0,2117;3781;2836;2424;3599;3452;4098
L25;LUZELLE;2;1;C;0,2116;0,5305;5625;4039;4451;6877;6580;6123
L26;LUZELLE;2;4;S;0,1222;0,5223;4144;4102;4582;6678;6578;7870
L27;LUZELLE;2;3;S;0,6557;0,3042;4589;2452;2811;3644;3741;2858
L28;LUZELLE;2;3;S;0,3348;0,4362;4118;4228;4102;5860;6104;5976
L29;LUZELLE;2;1;C;0,0912;0,3436;4293;2984;2957;4156;5090;5431
L30;LUZELLE;2;1;C;0,0768;0,1592;2295;3938;1572;2295;2829;3053
A1;ANTANE;2;3;S;0,355;0,3492;1299;2890;3995;5878;5226;5792
A2;ANTANE;2;1;C;0,3598;0,6494;7057;7645;7081;10077;8698;8234
A3;ANTANE;2;3;S;0,5864;0,4422;6228;4374;4021;;4081;4282
A4;ANTANE;2;4;S;0,2178;0,3029;1429;1921;2410;4231;4342;4898
A5;ANTANE;2;4;S;0,4854;0,3956;2772;2533;4413;6427;8499;6840
A6;ANTANE;2;4;S;0,5683;0,4657;6003;4340;5098;;5498;6261
A7;ANTANE;2;2;C;0,2518;0,384;5679;5135;5188;7316;7743;7175
A8;ANTANE;2;2;C;0,4721;0,7744;4598;6493;6529;9780;9995;10241
A9;ANTANE;2;2;C;0,2643;0,5636;4789;3586;6415;9974;11379;10061
A10;ANTANE;2;1;C;0,3844;0,7589;9783;8582;9530;13034;11783;10511
A11;ANTANE;2;2;C;1,0051;0,93;9980;9998;10080;11980;12144;10823
A12;ANTANE;2;1;C;0,0654;0,4535;2971;3581;3487;6019;5781;6450
A13;ANTANE;2;2;C;0,7981;0,222;3391;2803;2227;3626;5247;4552
A14;ANTANE;2;3;S;1,1352;0,5569;5498;5043;5535;7239;5709;5929
A15;ANTANE;2;3;S;0,2175;0,5495;4320;3932;6379;7361;6719;5662
A16;ANTANE;2;3;S;0,9286;0,3463;1595;4699;2180;3662;3810;4489
A17;ANTANE;2;3;S;0,5652;0,8035;8267;7685;7921;10324;8185;8130
A18;ANTANE;2;2;C;0,5167;0,8844;10478;9996;11064;15046;14039;13347
A19;ANTANE;2;1;C;0,506;0,7782;18448;8569;10370;14641;11936;14331
A20;ANTANE;2;4;S;0,4084;0,423;2477;1893;2158;3209;4477;5028
A21;ANTANE;2;1;C;0,4114;0,5557;6133;5913;6508;9056;8185;7997
A22;ANTANE;2;1;C;0,5551;0,4471;5593;4838;5414;8617;7835;7872
A23;ANTANE;2;1;C;0,1784;0,2663;4243;2086;2119;2989;5094;4272
A24;ANTANE;2;3;S;0,7641;0,573;5796;4294;5152;6790;6014;5650
A25;ANTANE;2;4;S;0,6447;0,6757;5169;6312;6908;10564;9514;8377
A26;ANTANE;2;2;C;0,6219;0,6033;4556;4247;4603;7277;6625;7387
A27;ANTANE;2;3;S;0,4651;0,6939;5883;4593;5302;8913;9210;9762
A28;ANTANE;2;1;C;0,3787;0,4892;5141;4758;3768;6841;6332;7627
A29;ANTANE;2;4;S;0,8282;0,8318;6042;6877;6363;10106;9560;8749
A30;ANTANE;2;4;S;0,738;0,9564;5642;6999;8433;12883;10489;11927
M1;MARINA;7;2;C;0,324;0,4474;6420;6155;5605;7199;6453;6286
M2;MARINA;7;3;S;0,2988;0,5921;5555;5177;5451;8814;9325;9677
M3;MARINA;7;1;C;0,1447;0,319;4106;;3372;4637;5039;5235
M4;MARINA;7;3;S;0,4386;0,9837;5081;6839;8041;13109;10254;12669
M5;MARINA;7;3;S;0,5063;0,4951;3124;4109;5244;8140;6056;7642
M6;MARINA;7;2;C;0,4274;0,7525;10483;6468;7639;11234;10966;12773
M7;MARINA;7;4;S;0,5729;0,3698;2109;2245;2689;4864;5300;5027
M8;MARINA;7;1;C;0,368;0,6433;9826;6460;6875;10953;10223;9499
M9;MARINA;7;3;S;0,623;0,7083;3209;3545;3759;5942;6465;8087
M10;MARINA;7;3;S;0,4373;0,7733;6647;6206;6342;8752;7569;7311
M11;MARINA;7;2;C;0,442;0,6897;4997;5955;7000;10879;8705;7974
M12;MARINA;7;1;C;0,42;0,8965;23731;8709;9152;15637;13818;13128
M13;MARINA;7;3;S;0,3112;0,3105;2342;2957;2428;4230;4289;4838
M14;MARINA;7;1;C;0,3246;0,3076;6106;3109;3185;4586;4619;4312
M15;MARINA;7;4;S;0,4994;0,6275;3485;2974;3775;6237;6907;7092
M16;MARINA;7;4;S;0,5968;0,6693;5005;4024;4614;7818;8698;9370
M17;MARINA;7;4;S;0,3301;0,7528;7269;6020;7021;11328;9207;10213
M18;MARINA;7;4;S;0,5833;1,15;7067;8491;10070;13592;13464;13977
M19;MARINA;7;2;C;0,1729;0,2218;4998;4247;1612;2844;3140;3290
M20;MARINA;7;1;C;0,5951;0,6271;14886;6609;6579;7601;7197;6957
M21;MARINA;7;2;C;0,6407;0,7906;9680;7713;8552;13224;9563;11174
M22;MARINA;7;4;S;0,6075;0,7779;9833;5088;7407;12213;11280;10839
M23;MARINA;7;1;C;0,5726;0,6441;14286;8053;7879;10555;10074;9729
