ID;Var;Dormancy;Box;LT;VisualPhenotype;MaxLength;NbRamif;IDramif;Origin;RamifLength;NbLeaves;MeanInternodeLengthRamif
L1;LUZELLE;2;4;S;M;19;1;L1R1;B;1;3;0,333333333
L1;LUZELLE;2;4;S;M;19;2;L1R2;B;15;7;2,142857143
L1;LUZELLE;2;4;S;M;19;3;L1R3;C;13;7;1,857142857
L1;LUZELLE;2;4;S;M;19;4;L1R4;C;17;9;1,888888889
L1;LUZELLE;2;4;S;M;19;5;L1R5;C;0,1;5;0,02
L1;LUZELLE;2;4;S;M;19;6;L1R6;C;19;13;1,461538462
L2;LUZELLE;2;2;C;B;14;1;L2R1;B;2;7;0,285714286
L2;LUZELLE;2;2;C;B;14;2;L2R2;C;0,1;5;0,02
L2;LUZELLE;2;2;C;B;14;3;L2R3;C;0,1;7;0,014285714
L2;LUZELLE;2;2;C;B;14;4;L2R4;C;0,1;7;0,014285714
L2;LUZELLE;2;2;C;B;14;5;L2R5;C;0,1;6;0,016666667
L2;LUZELLE;2;2;C;B;14;6;L2R6;C;1;6;0,166666667
L2;LUZELLE;2;2;C;B;14;7;L2R7;C;9;8;1,125
L2;LUZELLE;2;2;C;B;14;8;L2R8;C;14;10;1,4
L2;LUZELLE;2;2;C;B;14;9;L2R9;C;10;8;1,25
L2;LUZELLE;2;2;C;B;14;10;L2R10;C;3;8;0,375
L3;LUZELLE;2;1;C;E;24;1;L3R1;B;24;10;2,4
L3;LUZELLE;2;1;C;E;24;2;L3R2;B;8;8;1
L3;LUZELLE;2;1;C;E;24;3;L3R3;B;2;5;0,4
L3;LUZELLE;2;1;C;E;24;4;L3R4;C;1;4;0,25
L3;LUZELLE;2;1;C;E;24;5;L3R5;C;2;6;0,333333333
L3;LUZELLE;2;1;C;E;24;6;L3R6;C;2;5;0,4
L3;LUZELLE;2;1;C;E;24;7;L3R7;C;5;6;0,833333333
L3;LUZELLE;2;1;C;E;24;8;L3R8;C;1,5;5;0,3
L3;LUZELLE;2;1;C;E;24;9;L3R9;C;1,5;5;0,3
L4;LUZELLE;2;2;C;B;15;1;L4R1;B;2;4;0,5
L4;LUZELLE;2;2;C;B;15;2;L4R2;C;15;10;1,5
L4;LUZELLE;2;2;C;B;15;3;L4R3;C;3;7;0,428571429
L4;LUZELLE;2;2;C;B;15;4;L4R4;C;8;9;0,888888889
L4;LUZELLE;2;2;C;B;15;5;L4R4;C;4;8;0,5
L4;LUZELLE;2;2;C;B;15;6;L4R4;C;9;8;1,125
L5;LUZELLE;2;3;S;E;25;1;L5R1;B;25;10;2,5
L5;LUZELLE;2;3;S;E;25;2;L5R2;B;22;11;2
L5;LUZELLE;2;3;S;E;25;3;L5R3;C;23;7;3,285714286
L5;LUZELLE;2;3;S;E;25;4;L5R4;C;13;6;2,166666667
L5;LUZELLE;2;3;S;E;25;5;L5R5;C;1;7;0,142857143
L5;LUZELLE;2;3;S;E;25;6;L5R6;C;5,5;6;0,916666667
L5;LUZELLE;2;3;S;E;25;7;L5R7;C;4,5;4;1,125
L6;LUZELLE;2;3;S;M;13;1;L6R1;B;13;8;1,625
L6;LUZELLE;2;3;S;M;13;2;L6R2;B;8;7;1,142857143
L6;LUZELLE;2;3;S;M;13;3;L6R3;B;1,5;3;0,5
L7;LUZELLE;2;3;S;M;15;1;L7R1;B;4;6;0,666666667
L7;LUZELLE;2;3;S;M;15;2;L7R2;B;4;6;0,666666667
L7;LUZELLE;2;3;S;M;15;3;L7R3;B;1;5;0,2
L7;LUZELLE;2;3;S;M;15;4;L7R4;B;1;3;0,333333333
L7;LUZELLE;2;3;S;M;15;5;L7R5;C;15;8;1,875
L7;LUZELLE;2;3;S;M;15;6;L7R6;C;4;6;0,666666667
L7;LUZELLE;2;3;S;M;15;7;L7R7;C;1;3;0,333333333
L7;LUZELLE;2;3;S;M;15;8;L7R8;C;1;4;0,25
L8;LUZELLE;2;3;S;E;34;1;L8R1;B;24;8;3
L8;LUZELLE;2;3;S;E;34;2;L8R2;B;34;9;3,777777778
L8;LUZELLE;2;3;S;E;34;3;L8R3;B;21;9;2,333333333
L8;LUZELLE;2;3;S;E;34;4;L8R4;C;28;8;3,5
L8;LUZELLE;2;3;S;E;34;5;L8R5;C;0,1;2;0,05
L8;LUZELLE;2;3;S;E;34;6;L8R6;C;0,1;3;0,033333333
L8;LUZELLE;2;3;S;E;34;7;L8R7;C;1;2;0,5
L8;LUZELLE;2;3;S;E;34;8;L8R8;C;10;4;2,5
L9;LUZELLE;2;4;S;E;35;1;L9R1;B;35;13;2,692307692
L9;LUZELLE;2;4;S;E;35;2;L9R2;B;2;3;0,666666667
L9;LUZELLE;2;4;S;E;35;3;L9R3;C;27;11;2,454545455
L9;LUZELLE;2;4;S;E;35;4;L9R4;C;0,5;7;0,071428571
L9;LUZELLE;2;4;S;E;35;5;L9R5;C;0,5;6;0,083333333
L9;LUZELLE;2;4;S;E;35;6;L9R6;C;1;6;0,166666667
L10;LUZELLE;2;1;C;M;20;1;L10R1;B;20;10;2
L10;LUZELLE;2;1;C;M;20;2;L10R2;B;5,5;6;0,916666667
L10;LUZELLE;2;1;C;M;20;3;L10R3;C;19;9;2,111111111
L10;LUZELLE;2;1;C;M;20;4;L10R4;C;13;7;1,857142857
L10;LUZELLE;2;1;C;M;20;5;L10R5;C;6;6;1
L10;LUZELLE;2;1;C;M;20;6;L10R7;C;3,5;5;0,7
L10;LUZELLE;2;1;C;M;20;7;L10R7;C;1;4;0,25
L11;LUZELLE;2;3;S;E;32;1;L11R1;B;32;10;3,2
L11;LUZELLE;2;3;S;E;32;2;L11R2;B;28;9;3,111111111
L11;LUZELLE;2;3;S;E;32;3;L11R3;C;17,5;7;2,5
L11;LUZELLE;2;3;S;E;32;4;L11R4;C;16;7;2,285714286
L11;LUZELLE;2;3;S;E;32;5;L11R5;C;19;7;2,714285714
L11;LUZELLE;2;3;S;E;32;6;L11R6;C;11;4;2,75
L11;LUZELLE;2;3;S;E;32;7;L11R7;C;17;8;2,125
L11;LUZELLE;2;3;S;E;32;8;L11R8;C;13;6;2,166666667
L11;LUZELLE;2;3;S;E;32;9;L11R9;C;11;4;2,75
L11;LUZELLE;2;3;S;E;32;10;L11R10;C;7;6;1,166666667
L11;LUZELLE;2;3;S;E;32;11;L11R11;C;5;5;1
L11;LUZELLE;2;3;S;E;32;12;L11R12;C;0,5;4;0,125
L11;LUZELLE;2;3;S;E;32;13;L11R13;C;1;2;0,5
L12;LUZELLE;2;4;S;E;35;1;L12R1;B;35;12;2,916666667
L12;LUZELLE;2;4;S;E;35;2;L12R2;B;23;9;2,555555556
L12;LUZELLE;2;4;S;E;35;3;L12R3;B;7;5;1,4
L12;LUZELLE;2;4;S;E;35;4;L12R4;C;20;7;2,857142857
L12;LUZELLE;2;4;S;E;35;5;L12R5;C;3;4;0,75
L12;LUZELLE;2;4;S;E;35;6;L12R6;C;0,1;5;0,02
L13;LUZELLE;2;2;C;B;23;1;L13R1;B;23;28;0,821428571
L13;LUZELLE;2;2;C;B;23;2;L13R2;C;3;7;0,428571429
L13;LUZELLE;2;2;C;B;23;3;L13R3;C;3;10;0,3
L13;LUZELLE;2;2;C;B;23;4;L13R4;C;3;7;0,428571429
L13;LUZELLE;2;2;C;B;23;5;L13R5;C;7;9;0,777777778
L13;LUZELLE;2;2;C;B;23;6;L13R6;C;1;6;0,166666667
L14;LUZELLE;2;2;C;M;25;1;L14R1;C;25;12;2,083333333
L14;LUZELLE;2;2;C;M;25;2;L14R2;C;8;9;0,888888889
L14;LUZELLE;2;2;C;M;25;3;L14R3;C;15;8;1,875
L14;LUZELLE;2;2;C;M;25;4;L14R4;C;3;6;0,5
L14;LUZELLE;2;2;C;M;25;5;L14R5;C;2;5;0,4
L14;LUZELLE;2;2;C;M;25;6;L14R6;C;5;6;0,833333333
L15;LUZELLE;2;4;S;E;33;1;L15R1;B;33;6;5,5
L15;LUZELLE;2;4;S;E;33;2;L15R2;B;4;7;0,571428571
L15;LUZELLE;2;4;S;E;33;3;L15R3;C;32;10;3,2
L15;LUZELLE;2;4;S;E;33;4;L15R4;C;6;9;0,666666667
L15;LUZELLE;2;4;S;E;33;5;L15R5;C;5,5;5;1,1
L16;LUZELLE;2;4;S;E;22;1;L16R1;B;0,1;5;0,02
L16;LUZELLE;2;4;S;E;22;2;L16R2;B;21;8;2,625
L16;LUZELLE;2;4;S;E;22;3;L16R3;C;22;8;2,75
L16;LUZELLE;2;4;S;E;22;4;L16R4;C;14;7;2
L16;LUZELLE;2;4;S;E;22;5;L16R5;C;12;5;2,4
L17;LUZELLE;2;2;C;B;17;1;L17R1;C;17;11;1,545454545
L17;LUZELLE;2;2;C;B;17;2;L17R2;C;6,5;6;1,083333333
L17;LUZELLE;2;2;C;B;17;3;L17R3;C;6;5;1,2
L17;LUZELLE;2;2;C;B;17;4;L17R4;C;0,1;3;0,033333333
L17;LUZELLE;2;2;C;B;17;5;L17R5;C;0,1;5;0,02
L18;LUZELLE;2;2;C;B;20;1;L18R1;B;20;9;2,222222222
L18;LUZELLE;2;2;C;B;20;2;L18R2;C;3;3;1
L18;LUZELLE;2;2;C;B;20;3;L18R3;C;15;8;1,875
L19;LUZELLE;2;4;S;M;17;1;L19R1;B;17;11;1,545454545
L19;LUZELLE;2;4;S;M;17;2;L19R2;B;11;7;1,571428571
L19;LUZELLE;2;4;S;M;17;3;L19R3;C;0,1;6;0,016666667
L19;LUZELLE;2;4;S;M;17;4;L19R4;C;3;8;0,375
L19;LUZELLE;2;4;S;M;17;5;L19R5;C;6;7;0,857142857
L19;LUZELLE;2;4;S;M;17;6;L19R6;C;13;8;1,625
L20;LUZELLE;2;2;C;B;22;1;L20R1;B;5;8;0,625
L20;LUZELLE;2;2;C;B;22;2;L20R2;C;13;7;1,857142857
L20;LUZELLE;2;2;C;B;22;3;L20R3;C;22;11;2
L20;LUZELLE;2;2;C;B;22;4;L20R4;C;19;13;1,461538462
L20;LUZELLE;2;2;C;B;22;5;L20R5;C;5;9;0,555555556
L20;LUZELLE;2;2;C;B;22;6;L20R6;C;6,5;7;0,928571429
L21;LUZELLE;2;1;C;M;21;1;L21R1;B;17;10;1,7
L21;LUZELLE;2;1;C;M;21;2;L21R2;B;5;7;0,714285714
L21;LUZELLE;2;1;C;M;21;3;L21R3;C;21;10;2,1
L21;LUZELLE;2;1;C;M;21;4;L21R4;C;4;5;0,8
L21;LUZELLE;2;1;C;M;21;5;L21R5;C;8;5;1,6
L21;LUZELLE;2;1;C;M;21;6;L21R6;C;5;5;1
L21;LUZELLE;2;1;C;M;21;7;L21R7;C;6;5;1,2
L22;LUZELLE;2;2;C;M;25;1;L22R1;B;23;9;2,555555556
L22;LUZELLE;2;2;C;M;25;2;L22R2;B;1;2;0,5
L22;LUZELLE;2;2;C;M;25;3;L22R3;C;25;9;2,777777778
L22;LUZELLE;2;2;C;M;25;4;L22R4;C;16;9;1,777777778
L22;LUZELLE;2;2;C;M;25;5;L22R5;C;3;5;0,6
L22;LUZELLE;2;2;C;M;25;6;L22R6;C;10;7;1,428571429
L22;LUZELLE;2;2;C;M;25;7;L22R7;C;7;7;1
L23;LUZELLE;2;4;S;M;12;1;L23R1;C;12;9;1,333333333
L23;LUZELLE;2;4;S;M;12;2;L23R2;C;0,1;2;0,05
L23;LUZELLE;2;4;S;M;12;3;L23R3;C;0,5;4;0,125
L23;LUZELLE;2;4;S;M;12;4;L23R4;C;11;8;1,375
L24;LUZELLE;2;1;C;E;15,5;1;L24R1;B;15,5;9;1,722222222
L24;LUZELLE;2;1;C;E;15,5;2;L24R2;B;2;5;0,4
L24;LUZELLE;2;1;C;E;15,5;3;L24R3;B;0,5;3;0,166666667
L24;LUZELLE;2;1;C;E;15,5;4;L24R4;C;2;6;0,333333333
L25;LUZELLE;2;1;C;B;18,5;1;L25R1;B;8,5;6;1,416666667
L25;LUZELLE;2;1;C;B;18,5;2;L25R2;B;2;3;0,666666667
L25;LUZELLE;2;1;C;B;18,5;3;L25R3;B;1;2;0,5
L25;LUZELLE;2;1;C;B;18,5;4;L25R4;C;18,5;10;1,85
L25;LUZELLE;2;1;C;B;18,5;5;L25R5;C;11,5;7;1,642857143
L25;LUZELLE;2;1;C;B;18,5;6;L25R6;C;15;8;1,875
L25;LUZELLE;2;1;C;B;18,5;7;L25R7;C;6;5;1,2
L25;LUZELLE;2;1;C;B;18,5;8;L25R8;C;6;7;0,857142857
L25;LUZELLE;2;1;C;B;18,5;9;L25R9;C;5;6;0,833333333
L25;LUZELLE;2;1;C;B;18,5;10;L25R10;C;7,5;7;1,071428571
L26;LUZELLE;2;4;S;E;34;1;L26R1;B;34;13;2,615384615
L26;LUZELLE;2;4;S;E;34;2;L26R2;B;4;4;1
L26;LUZELLE;2;4;S;E;34;3;L26R3;B;3;4;0,75
L26;LUZELLE;2;4;S;E;34;4;L26R4;B;19;11;1,727272727
L26;LUZELLE;2;4;S;E;34;5;L26R5;C;30;9;3,333333333
L26;LUZELLE;2;4;S;E;34;6;L26R6;C;0,5;4;0,125
L26;LUZELLE;2;4;S;E;34;7;L26R7;C;0,1;3;0,033333333
L27;LUZELLE;2;3;S;M;5;1;L27R1;B;3;8;0,375
L27;LUZELLE;2;3;S;M;5;2;L27R2;B;5;7;0,714285714
L28;LUZELLE;2;3;S;M;21;1;L28R1;B;21;7;3
L28;LUZELLE;2;3;S;M;21;2;L28R2;B;1;3;0,333333333
L28;LUZELLE;2;3;S;M;21;3;L28R3;C;6;5;1,2
L28;LUZELLE;2;3;S;M;21;4;L28R4;C;2;4;0,5
L28;LUZELLE;2;3;S;M;21;5;L28R5;C;4;3;1,333333333
L28;LUZELLE;2;3;S;M;21;6;L28R6;C;6;4;1,5
L28;LUZELLE;2;3;S;M;21;7;L28R7;C;1;3;0,333333333
L28;LUZELLE;2;3;S;M;21;8;L28R8;C;0,3;4;0,075
L28;LUZELLE;2;3;S;M;21;9;L28R9;C;2;4;0,5
L28;LUZELLE;2;3;S;M;21;10;L28R10;C;0,2;4;0,05
L29;LUZELLE;2;1;C;E;29;1;L29R1;B;2,5;4;0,625
L29;LUZELLE;2;1;C;E;29;2;L29R2;B;0,1;3;0,033333333
L29;LUZELLE;2;1;C;E;29;3;L29R3;B;0,1;3;0,033333333
L29;LUZELLE;2;1;C;E;29;4;L29R4;C;29;10;2,9
L29;LUZELLE;2;1;C;E;29;5;L29R5;C;7;6;1,166666667
L29;LUZELLE;2;1;C;E;29;6;L29R6;C;7;5;1,4
L29;LUZELLE;2;1;C;E;29;7;L29R7;C;1;3;0,333333333
L30;LUZELLE;2;1;C;B;10;1;L30R1;C;10;9;1,111111111
L30;LUZELLE;2;1;C;B;10;2;L30R2;C;1,5;5;0,3
L30;LUZELLE;2;1;C;B;10;3;L30R3;C;3;4;0,75
L30;LUZELLE;2;1;C;B;10;4;L30R4;C;1,5;5;0,3
L30;LUZELLE;2;1;C;B;10;5;L30R5;C;3;5;0,6
A1;ANTANE;2;3;S;E;18;1;A1R1;B;18;9;2
A1;ANTANE;2;3;S;E;18;2;A1R2;B;5;6;0,833333333
A1;ANTANE;2;3;S;E;18;3;A1R3;C;3;4;0,75
A1;ANTANE;2;3;S;E;18;4;A1R4;C;3,5;4;0,875
A1;ANTANE;2;3;S;E;18;5;A1R5;C;1;2;0,5
A2;ANTANE;2;1;C;B;18;1;A2R1;B;7;6;1,166666667
A2;ANTANE;2;1;C;B;18;2;A2R2;B;2;5;0,4
A2;ANTANE;2;1;C;B;18;3;A2R3;C;11;8;1,375
A2;ANTANE;2;1;C;B;18;4;A2R4;C;14;7;2
A2;ANTANE;2;1;C;B;18;5;A2R5;C;18;9;2
A2;ANTANE;2;1;C;B;18;6;A2R6;C;0,1;5;0,02
A2;ANTANE;2;1;C;B;18;7;A2R7;C;7;7;1
A2;ANTANE;2;1;C;B;18;8;A2R8;C;2;6;0,333333333
A2;ANTANE;2;1;C;B;18;9;A2R9;C;1;4;0,25
A2;ANTANE;2;1;C;B;18;10;A2R10;C;1;5;0,2
A2;ANTANE;2;1;C;B;18;11;A2R11;C;3;5;0,6
A2;ANTANE;2;1;C;B;18;12;A2R12;C;0,1;6;0,016666667
A2;ANTANE;2;1;C;B;18;13;A2R13;C;2;5;0,4
A2;ANTANE;2;1;C;B;18;14;A2R14;C;2;5;0,4
A3;ANTANE;2;3;S;M;12;1;A3R1;B;1;5;0,2
A3;ANTANE;2;3;S;M;12;2;A3R2;B;1;6;0,166666667
A3;ANTANE;2;3;S;M;12;3;A3R3;C;12;6;2
A3;ANTANE;2;3;S;M;12;4;A3R4;C;1;5;0,2
A3;ANTANE;2;3;S;M;12;5;A3R5;C;1;1;1
A3;ANTANE;2;3;S;M;12;6;A3R6;C;1;4;0,25
A3;ANTANE;2;3;S;M;12;7;A3R7;C;1;3;0,333333333
A3;ANTANE;2;3;S;M;12;8;A3R8;C;1;3;0,333333333
A3;ANTANE;2;3;S;M;12;9;A3R9;C;1;3;0,333333333
A4;ANTANE;2;4;S;M;12;1;A4R1;B;1;4;0,25
A4;ANTANE;2;4;S;M;12;2;A4R2;C;12;9;1,333333333
A4;ANTANE;2;4;S;M;12;3;A4R3;C;6,5;8;0,8125
A4;ANTANE;2;4;S;M;12;4;A4R4;C;4;6;0,666666667
A5;ANTANE;2;4;S;B;13;1;A5R1;B;13;9;1,444444444
A5;ANTANE;2;4;S;B;13;2;A5R2;B;7,5;9;0,833333333
A5;ANTANE;2;4;S;B;13;3;A5R3;C;3;5;0,6
A5;ANTANE;2;4;S;B;13;4;A5R4;C;1;7;0,142857143
A5;ANTANE;2;4;S;B;13;5;A5R5;C;2;7;0,285714286
A5;ANTANE;2;4;S;B;13;6;A5R6;C;3;6;0,5
A5;ANTANE;2;4;S;B;13;7;A5R7;C;3;8;0,375
A6;ANTANE;2;4;S;M;12,5;1;A6R1;B;12,5;6;2,083333333
A6;ANTANE;2;4;S;M;12,5;2;A6R2;C;0,1;5;0,02
A6;ANTANE;2;4;S;M;12,5;3;A6R3;C;0,1;3;0,033333333
A6;ANTANE;2;4;S;M;12,5;4;A6R4;C;0,1;5;0,02
A6;ANTANE;2;4;S;M;12,5;5;A6R5;C;6;8;0,75
A7;ANTANE;2;2;C;B;9;1;A7R1;C;9;9;1
A7;ANTANE;2;2;C;B;9;2;A7R2;C;2;6;0,333333333
A7;ANTANE;2;2;C;B;9;3;A7R3;C;2;7;0,285714286
A7;ANTANE;2;2;C;B;9;4;A7R4;C;1;6;0,166666667
A7;ANTANE;2;2;C;B;9;5;A7R5;C;2;5;0,4
A7;ANTANE;2;2;C;B;9;6;A7R6;C;1;5;0,2
A7;ANTANE;2;2;C;B;9;7;A7R7;C;1;4;0,25
A7;ANTANE;2;2;C;B;9;8;A7R8;C;0,5;5;0,1
A7;ANTANE;2;2;C;B;9;9;A7R9;C;3;5;0,6
A7;ANTANE;2;2;C;B;9;10;A7R10;C;1;4;0,25
A7;ANTANE;2;2;C;B;9;11;A7R11;C;2;4;0,5
A8;ANTANE;2;2;C;E;30;1;A8R1;B;28;12;2,333333333
A8;ANTANE;2;2;C;E;30;2;A8R2;B;2;6;0,333333333
A8;ANTANE;2;2;C;E;30;3;A8R3;C;30;11;2,727272727
A8;ANTANE;2;2;C;E;30;4;A8R4;C;19;11;1,727272727
A8;ANTANE;2;2;C;E;30;5;A8R4;C;11;8;1,375
A8;ANTANE;2;2;C;E;30;6;A8R5;C;3;6;0,5
A9;ANTANE;2;2;C;B;15;1;A9R1;B;15;9;1,666666667
A9;ANTANE;2;2;C;B;15;2;A9R2;B;0,1;3;0,033333333
A9;ANTANE;2;2;C;B;15;3;A9R3;C;3,5;6;0,583333333
A9;ANTANE;2;2;C;B;15;4;A9R4;C;1;5;0,2
A9;ANTANE;2;2;C;B;15;5;A9R5;C;9;8;1,125
A9;ANTANE;2;2;C;B;15;6;A9R6;C;9;9;1
A9;ANTANE;2;2;C;B;15;7;A9R7;C;9,5;8;1,1875
A10;ANTANE;2;1;C;E;25;1;A10R1;B;25;10;2,5
A10;ANTANE;2;1;C;E;25;2;A10R2;B;11;8;1,375
A10;ANTANE;2;1;C;E;25;3;A10R3;C;20;9;2,222222222
A10;ANTANE;2;1;C;E;25;4;A10R4;C;6;6;1
A10;ANTANE;2;1;C;E;25;5;A10R5;C;10;7;1,428571429
A10;ANTANE;2;1;C;E;25;6;A10R6;C;1;4;0,25
A10;ANTANE;2;1;C;E;25;7;A10R7;C;0,5;5;0,1
A11;ANTANE;2;2;C;M;20;1;A11R1;B;9,5;9;1,055555556
A11;ANTANE;2;2;C;M;20;2;A11R2;B;20;13;1,538461538
A11;ANTANE;2;2;C;M;20;3;A11R3;B;19,5;17;1,147058824
A11;ANTANE;2;2;C;M;20;4;A11R4;B;12;9;1,333333333
A11;ANTANE;2;2;C;M;20;5;A11R5;B;6;8;0,75
A11;ANTANE;2;2;C;M;20;6;A11R6;C;0,1;5;0,02
A11;ANTANE;2;2;C;M;20;7;A11R7;C;1;5;0,2
A11;ANTANE;2;2;C;M;20;8;A11R8;C;9,5;10;0,95
A11;ANTANE;2;2;C;M;20;9;A11R9;C;0,1;4;0,025
A11;ANTANE;2;2;C;M;20;10;A11R10;C;4;5;0,8
A12;ANTANE;2;1;C;B;16;1;A12R1;B;16;9;1,777777778
A12;ANTANE;2;1;C;B;16;2;A12R2;B;12,5;9;1,388888889
A12;ANTANE;2;1;C;B;16;3;A12R3;B;5;6;0,833333333
A12;ANTANE;2;1;C;B;16;4;A12R4;C;6;6;1
A12;ANTANE;2;1;C;B;16;5;A12R5;C;4;7;0,571428571
A12;ANTANE;2;1;C;B;16;6;A12R6;C;4,5;7;0,642857143
A12;ANTANE;2;1;C;B;16;7;A12R7;C;0,5;6;0,083333333
A13;ANTANE;2;2;C;B;6;1;A13R1;B;6;8;0,75
A13;ANTANE;2;2;C;B;6;2;A13R2;C;3;6;0,5
A13;ANTANE;2;2;C;B;6;3;A13R3;C;0,5;6;0,083333333
A13;ANTANE;2;2;C;B;6;4;A13R4;C;1;7;0,142857143
A13;ANTANE;2;2;C;B;6;5;A13R5;C;1;2;0,5
A13;ANTANE;2;2;C;B;6;6;A13R6;C;1;6;0,166666667
A13;ANTANE;2;2;C;B;6;7;A13R7;C;2;6;0,333333333
A14;ANTANE;2;3;S;M;14;1;A14R1;C;14;7;2
A14;ANTANE;2;3;S;M;14;2;A14R2;C;14;8;1,75
A14;ANTANE;2;3;S;M;14;3;A14R3;C;9;7;1,285714286
A14;ANTANE;2;3;S;M;14;4;A14R4;C;2;3;0,666666667
A14;ANTANE;2;3;S;M;14;5;A14R5;C;0,1;3;0,033333333
A14;ANTANE;2;3;S;M;14;6;A14R6;C;2;6;0,333333333
A15;ANTANE;2;3;S;B;3;1;A15R1;B;2,5;5;0,5
A15;ANTANE;2;3;S;B;3;2;A15R2;B;0,1;3;0,033333333
A15;ANTANE;2;3;S;B;3;3;A15R3;B;1;4;0,25
A15;ANTANE;2;3;S;B;3;4;A15R4;B;1;3;0,333333333
A15;ANTANE;2;3;S;B;3;5;A15R5;B;1;5;0,2
A15;ANTANE;2;3;S;B;3;6;A15R6;C;0,5;4;0,125
A15;ANTANE;2;3;S;B;3;7;A15R7;C;1;4;0,25
A15;ANTANE;2;3;S;B;3;8;A15R8;C;1;4;0,25
A15;ANTANE;2;3;S;B;3;9;A15R9;C;0,5;4;0,125
A15;ANTANE;2;3;S;B;3;10;A15R10;C;1;6;0,166666667
A15;ANTANE;2;3;S;B;3;11;A15R11;C;3;6;0,5
A15;ANTANE;2;3;S;B;3;12;A15R12;C;0,5;4;0,125
A16;ANTANE;2;3;S;E;22;1;A16R1;B;22;9;2,444444444
A16;ANTANE;2;3;S;E;22;2;A16R2;B;1;4;0,25
A16;ANTANE;2;3;S;E;22;3;A16R3;C;6;6;1
A16;ANTANE;2;3;S;E;22;4;A16R4;C;4;6;0,666666667
A16;ANTANE;2;3;S;E;22;5;A16R5;C;1;4;0,25
A17;ANTANE;2;3;S;E;28;1;A17R1;B;28;10;2,8
A17;ANTANE;2;3;S;E;28;2;A17R2;C;11;6;1,833333333
A17;ANTANE;2;3;S;E;28;3;A17R3;C;12;5;2,4
A17;ANTANE;2;3;S;E;28;4;A17R4;C;1;5;0,2
A17;ANTANE;2;3;S;E;28;5;A17R5;C;0,1;6;0,016666667
A17;ANTANE;2;3;S;E;28;6;A17R6;C;0,5;4;0,125
A17;ANTANE;2;3;S;E;28;7;AA17R7;C;0,1;4;0,025
A17;ANTANE;2;3;S;E;28;8;A17R8;C;1;5;0,2
A17;ANTANE;2;3;S;E;28;9;A17R9;C;0,1;4;0,025
A18;ANTANE;2;2;C;B;19,5;1;A18R1;B;13;9;1,444444444
A18;ANTANE;2;2;C;B;19,5;2;A18R2;C;1,5;7;0,214285714
A18;ANTANE;2;2;C;B;19,5;3;A18R3;C;9;8;1,125
A18;ANTANE;2;2;C;B;19,5;4;A18R4;C;19,5;15;1,3
A18;ANTANE;2;2;C;B;19,5;5;A18R5;C;9,5;7;1,357142857
A18;ANTANE;2;2;C;B;19,5;6;A18R6;C;16;11;1,454545455
A18;ANTANE;2;2;C;B;19,5;7;A18R7;C;2;7;0,285714286
A19;ANTANE;2;1;C;M;20;1;A19R1;B;3;6;0,5
A19;ANTANE;2;1;C;M;20;2;A19R2;B;13;8;1,625
A19;ANTANE;2;1;C;M;20;3;A19R3;C;1;4;0,25
A19;ANTANE;2;1;C;M;20;4;A19R4;C;6;7;0,857142857
A19;ANTANE;2;1;C;M;20;5;A19R5;C;1,5;4;0,375
A19;ANTANE;2;1;C;M;20;6;A19R6;C;11;8;1,375
A19;ANTANE;2;1;C;M;20;7;A19R7;C;5;7;0,714285714
A19;ANTANE;2;1;C;M;20;8;A19R8;C;0,5;3;0,166666667
A19;ANTANE;2;1;C;M;20;9;A19R9;C;1;6;0,166666667
A19;ANTANE;2;1;C;M;20;10;A19R10;C;20;11;1,818181818
A19;ANTANE;2;1;C;M;20;11;A19R11;C;19;11;1,727272727
A20;ANTANE;2;4;S;M;14;1;A20R1;B;5;7;0,714285714
A20;ANTANE;2;4;S;M;14;2;A20R2;C;0,1;5;0,02
A20;ANTANE;2;4;S;M;14;3;A20R3;C;14;11;1,272727273
A20;ANTANE;2;4;S;M;14;4;A20R4;C;8;5;1,6
A20;ANTANE;2;4;S;M;14;5;A20R5;C;0,1;5;0,02
A21;ANTANE;2;1;C;B;16,5;1;A21R1;B;12;7;1,714285714
A21;ANTANE;2;1;C;B;16,5;2;A21R2;B;3,5;5;0,7
A21;ANTANE;2;1;C;B;16,5;3;A21R3;C;16,5;9;1,833333333
