ID;Var;Dormancy;Box;LT;Time;LAI;MaxLAI
L1;LUZELLE;2;4;S;8;2963;7518
L2;LUZELLE;2;2;C;8;5047;7873
L3;LUZELLE;2;1;C;8;5875;9895
L4;LUZELLE;2;2;C;8;4470;7102
L5;LUZELLE;2;3;S;8;5136;9996
L6;LUZELLE;2;3;S;8;2761;4082
L7;LUZELLE;2;3;S;8;3489;5175
L8;LUZELLE;2;3;S;8;6297;11765
L9;LUZELLE;2;4;S;8;3073;6383
L10;LUZELLE;2;1;C;8;4350;8545
L11;LUZELLE;2;3;S;8;7445;13004
L12;LUZELLE;2;4;S;8;5195;13724
L13;LUZELLE;2;2;C;8;4193;7652
L14;LUZELLE;2;2;C;8;3185;6709
L15;LUZELLE;2;4;S;8;4738;9137
L16;LUZELLE;2;4;S;8;2704;8678
L17;LUZELLE;2;2;C;8;2316;4724
L18;LUZELLE;2;2;C;8;2808;5347
L19;LUZELLE;2;4;S;8;2337;10124
L20;LUZELLE;2;2;C;8;4517;9817
L21;LUZELLE;2;1;C;8;3913;7773
L22;LUZELLE;2;2;C;8;3943;7447
L23;LUZELLE;2;4;S;8;872;4028
L24;LUZELLE;2;1;C;8;2836;4098
L25;LUZELLE;2;1;C;8;4039;6877
L26;LUZELLE;2;4;S;8;4102;9513
L27;LUZELLE;2;3;S;8;2452;3741
L28;LUZELLE;2;3;S;8;4228;6672
L29;LUZELLE;2;1;C;8;2984;5431
L30;LUZELLE;2;1;C;8;3938;3938
A1;ANTANE;2;3;S;8;2890;6347
A2;ANTANE;2;1;C;8;7645;10077
A3;ANTANE;2;3;S;8;4374;4701
A4;ANTANE;2;4;S;8;1921;5487
A5;ANTANE;2;4;S;8;2533;8499
A6;ANTANE;2;4;S;8;4340;6261
A7;ANTANE;2;2;C;8;5135;7743
A8;ANTANE;2;2;C;8;6493;12447
A9;ANTANE;2;2;C;8;3586;11379
A10;ANTANE;2;1;C;8;8582;13034
A11;ANTANE;2;2;C;8;9998;12144
A12;ANTANE;2;1;C;8;3581;7236
A13;ANTANE;2;2;C;8;2803;5247
A14;ANTANE;2;3;S;8;5043;7239
A15;ANTANE;2;3;S;8;3932;7361
A16;ANTANE;2;3;S;8;4699;5873
A17;ANTANE;2;3;S;8;7685;10324
A18;ANTANE;2;2;C;8;9996;15046
A19;ANTANE;2;1;C;8;8569;14641
A20;ANTANE;2;4;S;8;1893;7004
A21;ANTANE;2;1;C;8;5913;9056
A22;ANTANE;2;1;C;8;4838;8617
A23;ANTANE;2;1;C;8;2086;5094
A24;ANTANE;2;3;S;8;4294;6790
A25;ANTANE;2;4;S;8;6312;10564
A26;ANTANE;2;2;C;8;4247;8203
A27;ANTANE;2;3;S;8;4593;9762
A28;ANTANE;2;1;C;8;4758;8521
A29;ANTANE;2;4;S;8;6877;10988
A30;ANTANE;2;4;S;8;6999;12883
M1;MARINA;7;2;C;8;6155;7199
M2;MARINA;7;3;S;8;5177;11116
M3;MARINA;7;1;C;8;;5678
M4;MARINA;7;3;S;8;6839;15190
M5;MARINA;7;3;S;8;4109;8140
M6;MARINA;7;2;C;8;6468;14013
M7;MARINA;7;4;S;8;2245;5639
M8;MARINA;7;1;C;8;6460;10953
M9;MARINA;7;3;S;8;3545;8958
M10;MARINA;7;3;S;8;6206;8840
M11;MARINA;7;2;C;8;5955;10879
M12;MARINA;7;1;C;8;8709;15637
M13;MARINA;7;3;S;8;2957;5193
M14;MARINA;7;1;C;8;3109;4619
M15;MARINA;7;4;S;8;2974;9103
M16;MARINA;7;4;S;8;4024;9583
M17;MARINA;7;4;S;8;6020;12312
M18;MARINA;7;4;S;8;8491;13977
M19;MARINA;7;2;C;8;4247;4247
M20;MARINA;7;1;C;8;6609;8073
M21;MARINA;7;2;C;8;7713;13224
M22;MARINA;7;4;S;8;5088;12213
M23;MARINA;7;1;C;8;8053;10556
M24;MARINA;7;3;S;8;3283;4134
M25;MARINA;7;3;S;8;4050;8037
M26;MARINA;7;2;C;8;6274;9954
M27;MARINA;7;1;C;8;7642;12508
M28;MARINA;7;2;C;8;6029;11289
M29;MARINA;7;1;C;8;5698;10029
M30;MARINA;7;4;S;8;3740;8252
B1;BARVINCE;7;1;C;8;3539;7041
B2;BARVINCE;7;1;C;8;3619;6374
B3;BARVINCE;7;3;S;8;3638;10527
B4;BARVINCE;7;3;S;8;4655;9362
B5;BARVINCE;7;3;S;8;3802;5785
B6;BARVINCE;7;2;C;8;3522;9130
B7;BARVINCE;7;3;S;8;3847;4541
B8;BARVINCE;7;2;C;8;4222;9283
B9;BARVINCE;7;4;S;8;3542;9829
